date,home_team,away_team,close_line,home_ml_dec,away_ml_dec,home_ml_am,away_ml_am,actual_total,home_score,away_score
2026-04-18,DAL,MIN,5.5,1.83,2.0,-120,100,,,
2026-04-18,CAR,OTT,6.5,1.68,2.24,-147,124,,,
2026-04-18,PIT,PHI,6.5,1.68,2.24,-147,124,,,
2026-04-19,VGK,UTA,5.5,2.2,1.65,120,-153,,,
2026-04-20,CAR,OTT,5.5,1.65,2.3,-153,129,,,
2026-04-20,EDM,ANA,6.5,1.52,2.6,-192,160,,,
2026-04-20,DAL,MIN,5.5,1.7,2.2,-142,120,,,
2026-04-20,PIT,PHI,6.5,1.65,2.3,-153,129,,,
2026-04-21,TBL,MTL,5.5,1.52,2.6,-192,160,,,
2026-04-21,VGK,UTA,5.5,1.65,2.3,-153,129,,,
2026-04-21,BUF,BOS,6.5,1.57,2.45,-175,145,,,
2026-04-21,COL,LAK,5.5,1.35,3.3,-285,229,,,
2026-04-22,MIN,DAL,5.5,1.77,2.1,-129,110,,,
2026-04-22,EDM,ANA,6.5,1.51,2.64,-196,164,,,
2026-04-22,PHI,PIT,5.5,1.87,1.95,-114,-105,,,
2026-04-23,LAK,COL,5.5,2.4,1.6,140,-166,,,
2026-04-23,OTT,CAR,5.5,1.82,2.02,-121,102,,,
2026-04-23,BOS,BUF,6.5,1.91,1.91,-109,-109,,,
2026-04-24,MTL,TBL,5.5,2.02,1.82,102,-121,,,
2026-04-24,ANA,EDM,6.5,2.1,1.77,110,-129,,,
2026-04-24,UTA,VGK,5.5,1.93,1.89,-107,-112,,,
2026-04-26,MTL,TBL,4.5,1.1,7.0,-999,600,,,
2026-04-26,ANA,EDM,7.5,2.2,1.7,120,-142,,,
2026-04-27,UTA,VGK,5.5,2.05,1.8,104,-125,,,
2026-04-27,PIT,PHI,5.5,1.74,2.14,-135,114,,,
2026-04-28,EDM,ANA,6.5,1.62,2.36,-161,136,,,
2026-04-28,DAL,MIN,5.5,1.77,2.1,-129,110,,,
2026-04-28,BUF,BOS,5.5,1.59,2.42,-169,142,,,
2026-04-29,PHI,PIT,5.5,1.82,2.02,-121,+102,,,
2026-04-29,TBL,MTL,5.5,1.59,2.42,-169,+142,,,
2026-04-29,VGK,UTA,5.5,1.6,2.4,-166,+140,,,
