team,wins,losses,ot_losses,points,goals_for,goals_against
Colorado Avalanche,51,16,10,112,290,197
Carolina Hurricanes,50,22,6,106,281,233
Dallas Stars,46,20,12,104,262,214
Tampa Bay Lightning,48,24,6,102,281,221
Buffalo Sabres,47,23,8,102,270,233
Montréal Canadiens,46,22,10,102,273,245
Minnesota Wild,45,21,12,102,261,225
Pittsburgh Penguins,40,22,16,96,280,250
Boston Bruins,43,26,10,96,264,246
Ottawa Senators,41,27,10,92,264,240
Philadelphia Flyers,40,26,12,92,233,232
Columbus Blue Jackets,39,27,12,90,245,241
Detroit Red Wings,40,29,9,89,228,238
New York Islanders,42,31,5,89,226,229
Utah Mammoth,41,30,6,88,254,223
Edmonton Oilers,39,29,10,88,270,263
Vegas Golden Knights,36,26,16,88,249,241
Washington Capitals,39,30,9,87,248,240
Anaheim Ducks,41,32,5,87,257,276
Nashville Predators,37,31,10,84,238,256
Los Angeles Kings,32,26,19,83,211,236
New Jersey Devils,40,35,3,83,219,239
San Jose Sharks,37,32,7,81,234,269
Winnipeg Jets,34,31,12,80,221,234
St. Louis Blues,33,32,12,78,206,241
Toronto Maple Leafs,32,31,14,78,242,275
Florida Panthers,37,37,4,78,233,266
Seattle Kraken,32,34,11,75,214,248
New York Rangers,33,36,9,75,229,238
Calgary Flames,32,36,9,73,202,247
Chicago Blackhawks,28,36,14,70,202,256
Vancouver Canucks,22,47,8,52,202,297
