team,season_year,team_goalie_gsax
ANA,2023,-15.526816888888922
ANA,2024,-1.5977403614458177
ANA,2025,-3.496666666666658
"ANA,BUF",2024,-5.772640000000041
ARI,2023,-3.3811506666667053
BOS,2023,12.249850476190462
BOS,2024,-18.238815176470638
BOS,2025,17.856896551724137
BUF,2023,1.7343611494252675
BUF,2024,-26.109805000000073
BUF,2025,9.796436781609195
CAR,2023,-0.30120192771085297
CAR,2024,-7.55259400000002
CAR,2025,-0.09277108433734994
CBJ,2023,-5.338712399999981
CBJ,2024,-15.53403154761907
CBJ,2025,8.074117647058829
"CBJ,CAR",2023,-8.901100000000026
CGY,2023,-5.304356823529414
CGY,2024,1.090953855421695
CGY,2025,4.927272727272729
CHI,2023,-6.950629090909152
CHI,2024,-8.443790526315807
CHI,2025,5.889036144578319
"CHI,DET",2024,-15.798120000000061
COL,2023,-10.107010681818194
COL,2024,-1.305506666666667
COL,2025,15.03674418604651
"COL,NSH",2024,-18.485940000000006
"COL,SJS",2024,-41.20893000000005
DAL,2023,-2.849163218390899
DAL,2024,5.097032470588127
DAL,2025,7.4342857142857115
DET,2023,-3.3274479775281107
DET,2024,-6.382843461538493
DET,2025,2.4491208791208727
"DET,ANA",2024,-5.416320000000008
EDM,2023,-0.5709133333333364
EDM,2024,-9.844519101123645
EDM,2025,-1.903999999999997
FLA,2023,13.700596235294046
FLA,2024,-0.5645700000000295
FLA,2025,-8.116235294117653
"FLA,CHI",2024,-3.973229999999989
LAK,2023,8.965225116279042
LAK,2024,5.947102906976724
LAK,2025,0.7424418604651114
MIN,2023,-9.662948863636409
MIN,2024,7.266543023255789
MIN,2025,3.356470588235294
MTL,2023,-1.6796025000000072
MTL,2024,-6.991715056179795
MTL,2025,8.70847058823529
"MTL,NJD",2023,-11.82656
NJD,2023,-9.46998444444447
NJD,2024,-2.9552039534883914
NJD,2025,-3.4359523809523864
NSH,2023,0.6866611111110528
NSH,2024,-16.365760000000108
NSH,2025,-3.829080459770116
"NSH,COL",2024,1.329399999999982
NYI,2023,6.5798117647058305
NYI,2024,-0.5417615730337297
NYI,2025,17.636860465116285
NYR,2023,8.403986506024017
NYR,2024,-4.008717906976815
NYR,2025,10.71529411764706
OTT,2023,-19.480372527472543
OTT,2024,1.6475918181818086
OTT,2025,-11.508023255813955
PHI,2023,-11.495168444444433
PHI,2024,-21.695804222222254
PHI,2025,1.7330337078651648
PIT,2023,-4.15886695652181
PIT,2024,-12.1966146067416
PIT,2025,-0.6959574468085078
SEA,2023,4.806377727272672
SEA,2024,-6.157301279069756
SEA,2025,-1.1350574712643646
SJS,2023,-9.662338032786957
SJS,2024,-4.576272857142871
SJS,2025,-10.658181818181818
"SJS,COL",2024,9.603799999999975
"SJS,FLA",2024,-15.949719999999996
"SJS,NJD",2023,-8.941150000000027
STL,2023,10.19986551724129
STL,2024,-5.854652873563304
STL,2025,-4.3706896551724155
TBL,2023,-9.677103571428633
TBL,2024,18.564363855421682
TBL,2025,13.773294117647064
TOR,2023,-8.55247080459775
TOR,2024,8.896711666666638
TOR,2025,-2.706043956043952
UTA,2024,-5.687775402298854
UTA,2025,4.379767441860456
VAN,2023,7.727568214285717
VAN,2024,-7.104858604651157
VAN,2025,-11.585730337078653
VGK,2023,2.6314598850574344
VGK,2024,-3.38578452380951
VGK,2025,-6.039885057471265
WPG,2023,23.20077349397579
WPG,2024,24.897176385542096
WPG,2025,3.4651764705882306
WSH,2023,-1.3035689655172746
WSH,2024,-1.8034438095238403
WSH,2025,19.302048192771075
